"filepath","location","filesize_in_Gb","readme","giab_id","biosample","trio","dna_id","failed_filters","passed_filters","snps","mnps","insertions","deletions","indels","same_as_reference","phased_genotypes","snp transitions/transversions","hethom_ratio","insertion/deletion ratio","indel/snp+mnp ratio","breakends","symbolic svs","symbolic sv het/hom ratio","missing genotype","no genotypes","partial genotype","md5key"
"/giab/ftp/data/AshkenazimTrio/analysis/BINA_Roche_MetaSV_10142016/HG004","d39cc5fedc030031b71ef3acfcbf8c20/variants.vcf.gz","0.03","/giab/ftp/data/AshkenazimTrio/analysis/BINA_Roche_MetaSV_10142016/README_MetaSV","Not Available","Not Available","Not Available","Not Available","63763","7645","0","261","1964","3969","0",,"2.48 (5445/2200)","- (0/0)","14.35 (244/17)",,,"1451","0",,,,,"d39cc5fedc030031b71ef3acfcbf8c20"
"/giab/ftp/data/NA12878/analysis/GARVAN_snps_indels_12172013","22f830a50796b376bd93ca47475d6d9f/project.NIST.hc.snps.indels.vcf","0.08","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","0","416689",,"273134","0","19756","24548","86814","1.95 (299609/153370)","0.53 (109390/208134)","0.52 (93347/179787)",,,"86","12351",,,,,"22f830a50796b376bd93ca47475d6d9f"
"/giab/ftp/data/ChineseTrio/analysis/PacBio_deepvariant_gatk_pbsv_08282020/HG006","ef89b4151c4fe23cf7f46d75260d0583/HG006.hs37d5.deepvariant.vcf.gz","0.1","/giab/ftp/data/ChineseTrio/analysis/PacBio_deepvariant_gatk_pbsv_08282020/HG006/README_HG006_GRCh38.md,/giab/ftp/data/ChineseTrio/analysis/PacBio_deepvariant_gatk_pbsv_08282020/HG006/README_HG006_hs37d5.md","Not Available","Not Available","Not Available","Not Available","962653","4787874","3872076","0","449259","444903","20301",,"1.24 (2145693/1726383)","- (0/0)","1.57 (274164/175095)",,,"1335",,,,,,"ef89b4151c4fe23cf7f46d75260d0583"
"/giab/ftp/data/ChineseTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37","51932031ecedec2ca21d1b278242142f/NA24695_LongRanger_large_svs.vcf.gz","0.0","/giab/ftp/data/ChineseTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/README,/giab/ftp/data/ChineseTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/README.txt","Not Available","Not Available","Not Available","Not Available","6866","24","0","0","0","0","0","0","- (20/0)","- (0/0)","2.43 (17/7)","- (0/0)","- (0/0)","6","18","5.00 (15/3)",,,,"51932031ecedec2ca21d1b278242142f"
"/giab/ftp/data/NA12878/10Xgenomics_ChromiumGenome_LongRanger2.0_06202016","0b6a3002c2a298dbbb684e1ca0522dea/NA12878_GRCh38.vcf.gz","1.7","/giab/ftp/data/NA12878/10Xgenomics_ChromiumGenome_LongRanger2.0_06202016/README","Not Available","Not Available","Not Available","Not Available","300535","4598127","3943228","0","306671","343449","4677",,"1.45 (2720114/1877911)","1.53 (2385255/1557973)","- (0/0)",,,"102",,,,,,"0b6a3002c2a298dbbb684e1ca0522dea"
"/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_04122018/hs37d5","310226a31c011c76aa5a2e687d331a27/HG2_10X_pseu2.1_0916.l100c500.vcf.gz","0.0","/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_04122018/README","Not Available","Not Available","Not Available","Not Available","0","12588","0","0","2733","7517","2338","0","0","2724","7508","- (1/0)","0.36 (2733/7517)","0","12569","- (9/0)",,,,"310226a31c011c76aa5a2e687d331a27"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/Preliminary_Integrations_v0.4.0/svviz2_genotyping","9df4a0178bf7893708b516e4cd030d8e/union_170509_refalt.2.2.2.clustered.simpleINFO.techcounts.2techor5caller.1to10k.vcf.gz","0.0","/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/Preliminary_Integrations_v0.4.0/README_SV_v0.4.0.txt","Not Available","Not Available","Not Available","Not Available","1578","8422","8422",,,,,,,,,,,,,,,,,"9df4a0178bf7893708b516e4cd030d8e"
"/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_04122018/hs37d5","8761732e5cc8dedbae67c9b723efeca9/HG2_10X_PBhap1_1117.l100c500.no_ns.vcf.gz","0.0","/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_04122018/README","Not Available","Not Available","Not Available","Not Available","0","10132","0","0","4916","3376","1840","0","0","4907","3375","- (8/0)","1.46 (4916/3376)","0","10114","- (1/0)",,,,"8761732e5cc8dedbae67c9b723efeca9"
"/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_05252018/hs37d5","9f0b73faad33eeec38cd7ee31e39a9a3/HG2_Dove_DIS_0417.l100c500.no_ns.vcf.gz","0.0","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","0","14400","0","0","8800","4455","1145","0","0","8796","4452","- (6/0)","1.98 (8800/4455)","0","14387","- (3/0)",,,,"9f0b73faad33eeec38cd7ee31e39a9a3"
"/giab/ftp/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh38","af0def1eceb299382416532f95a818f2/NA24149.GRCh38.phased_variants.reformatted.vcf.gz","0.38","/giab/ftp/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GIAB_README.txt","Not Available","Not Available","Not Available","Not Available","919441","841649","298","0","412771","418063","10517",,"1.54 (510150/331499)","0.06 (17/281)","- (0/0)",,,"0",,,,,,"af0def1eceb299382416532f95a818f2"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_SVs_Integration_v0.6/GIAB_Evaluations/SpiralBGA_v0.6_TruvariBench/loose_comparison","c748c11127aebddd536f2c9785fe6867/fp.vcf","0.01","/giab/ftp/data/AshkenazimTrio/analysis/NIST_SVs_Integration_v0.6/GIAB_Evaluations/SpiralBGA_v0.6_TruvariBench/README.txt","Not Available","Not Available","Not Available","Not Available","0","4325","0","0","642","3244","439",,"- (0/0)","- (0/0)","4.73 (530/112)",,,"0",,,,,,"c748c11127aebddd536f2c9785fe6867"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/inputvcfs_preformatted/HG004_pass","ff30b3a27d5c2b8435bb2fa79beea6bb/HG004.hs37d5.60x.union_170414.vcf.gz","0.0","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","0","47038","20338","0","10648","15949","103",,"1.26 (11355/8983)","- (0/0)","1.57 (6509/4139)",,,"0",,,,,,"ff30b3a27d5c2b8435bb2fa79beea6bb"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/inputvcfs_preformatted/HG002_pass","d9ec2f5841f2f91d72284c1430feedad/HG2_PB_Bionano.l100c500.no_ns.vcf.gz","0.0","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","0","7571","0","0","4016","2708","847","0","0","435","1857","- (114/0)","1.48 (4016/2708)","0","3025","- (851/0)",,,,"d9ec2f5841f2f91d72284c1430feedad"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles","a3486640f9ac1abacbb2c7b2944820d0/header.vcf","0.0","/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/README.txt","Not Available","Not Available","Not Available","Not Available","0","0",,,,,,,,,,,,,,,,,,"a3486640f9ac1abacbb2c7b2944820d0"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG003_pass","25638a511cd79fcde09c9af27143cb74/NA24149_hg19_10x_allSV_pass.corrchrom_refalt_head.vcf.gz","0.0","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","0","3671","0","3","1","3664","0",,"- (0/0)","2.23 (2536/1135)","- (0/0)",,,"3","0","1221.67 (3665/3)",,,,"25638a511cd79fcde09c9af27143cb74"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG004_pass","6047ec1389fbc09db1b3268e230623aa/mother_hap_refsplit20160129_1kb_bionano_withID_gt19bp.sort.vcf.gz","0.0","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","3631","0",,,,,,,,,,,,,,,,,,"6047ec1389fbc09db1b3268e230623aa"
"/giab/ftp/data/NA12878/analysis/Illumina_PlatinumGenomes_NA12877_NA12878_09162015/hg19/older_releases/IlluminaPlatinumGenomes_v7.0/individual_callsets","31d96b4512a8520ef1f4888d6e8968d9/bwa_platypus.vcf.gz","0.07","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","3748211","4909637",,"3323164","0","205601","179898",,"80220","71163","0","1.12 (106147/94462)","1.54 (106532/69301)","3515","1197459","- (0/0)",,,,"31d96b4512a8520ef1f4888d6e8968d9"
"/giab/ftp/data/NA12878/analysis/PacBio_CCS_15kb_20kb_chemistry2_042021","b33f97e0128d87b42b4375d66d1c0960/HG001.hs37d5.pbsv.vcf.gz","0.0","/giab/ftp/data/NA12878/analysis/PacBio_CCS_15kb_20kb_chemistry2_042021/README.md","Not Available","Not Available","Not Available","Not Available","4033","50624","0","0","27399","23127","0",,"1.67 (31631/18993)","- (0/0)","- (0/0)",,,"98","0",,,,,"b33f97e0128d87b42b4375d66d1c0960"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_SVs_Integration_v0.6/GIAB_Evaluations/SpiralBGA_v0.6_TruvariBench/sequence_comparison","a31d00b89e4297b8774e5a81f2b8ae8a/fp_del_TR.vcf.gz","0.0","/giab/ftp/data/AshkenazimTrio/analysis/NIST_SVs_Integration_v0.6/GIAB_Evaluations/SpiralBGA_v0.6_TruvariBench/README.txt","Not Available","Not Available","Not Available","Not Available","0","2653","0","0","0","2430","223",,"- (0/0)","- (0/0)","- (0/0)",,,"0",,,,,,"a31d00b89e4297b8774e5a81f2b8ae8a"
"/giab/ftp/data/AshkenazimTrio/analysis/BU_HiSeq300x_scalpel_v0.4.1_04202017","f28a1007d8de9b1cc8ff3f5c102d2d94/hg004.scalpel.vcf","0.09","/giab/ftp/data/AshkenazimTrio/analysis/BU_HiSeq300x_scalpel_v0.4.1_04202017/README","Not Available","Not Available","Not Available","Not Available","0","683518","0","0","329674","353642","202",,"- (0/0)","- (0/0)","3.23 (251645/78029)",,,"0",,,,,,"f28a1007d8de9b1cc8ff3f5c102d2d94"
"/giab/ftp/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.0_06202016/HG003_NA24149_father","66f59f0bd754e7d190a4aafc5083635b/NA24149_GRCh37.vcf.gz","1.13","/giab/ftp/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.0_06202016/HG003_NA24149_father/README","Not Available","Not Available","Not Available","Not Available","325751","4446258","3807174","0","294789","340272","3936",,"1.39 (2584221/1861950)","1.47 (2265571/1541603)","- (0/0)",,,"87",,,,,,"66f59f0bd754e7d190a4aafc5083635b"
"/giab/ftp/data/AshkenazimTrio/analysis/DNAnexus_AndrewC_Illumina_Callers_Sep2016/HG004","0ccc1322ffa938ee3acde857a745847a/HG004.140818_D00360_0046_AHA5R5ADXX.realigned.recalibrated.cnvnator.vcf","0.0","/giab/ftp/data/AshkenazimTrio/analysis/DNAnexus_AndrewC_Illumina_Callers_Sep2016/README.docx","Not Available","Not Available","Not Available","Not Available","0","3871","3871",,,,,,,,,,,,,,,,,"0ccc1322ffa938ee3acde857a745847a"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG004_pass","3e76a8caa352a9a9725570f4a1f3dc90/HG004_AJ_tardis.filtered.noINV_refalt_head.vcf.gz","0.0","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","0","0",,,,,,,,,,,,,,,,,,"3e76a8caa352a9a9725570f4a1f3dc90"
"/giab/ftp/data/ChineseTrio/HG005_NA24631_son/HG005_NA24631_son_HiSeq_300x/basespace_45x_bams_vcfs_PerFlowCell/150424_HG005_Homogeneity_02_FCB-22108088/150424_HG005_Homogeneity_FCB_Combined-23168147","90e28d586c809d3a0b15c3822db7e4ba/150424-HG005-Homogeneity-FCB-Combined_S1.CNV.vcf","0.0","Not available in parent or current directory","HG005","SAMN03283350","HAN_CHINESE","NA24631","453","76","0","0","0","0","0",,"14.20 (71/5)","- (0/0)","- (0/0)",,,"76","0",,,,,"90e28d586c809d3a0b15c3822db7e4ba"
"/giab/ftp/data/NA12878/analysis/Leicester_HipSTR_GangSTR_05182022/GangSTR","8a3eb038fcd4d8c038f0f568b03eded4/NA12878_30x.vcf.gz","0.03","/giab/ftp/data/NA12878/analysis/Leicester_HipSTR_GangSTR_05182022/GangSTR/README.md","Not Available","Not Available","Not Available","Not Available","0","825161","0","0","38050","50860","7221",,"2.14 (65523/30608)","- (0/0)","- (0/0)",,,"725185","3845",,,,,"8a3eb038fcd4d8c038f0f568b03eded4"
"/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_05252018/hs37d5","cdd3f0e9bddbd403486a380ace846092/HG2_10X_PBhap1_1117.l100c500.no_ns.vcf.gz","0.0","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","0","10132","0","0","4916","3376","1840","0","0","4907","3375","- (8/0)","1.46 (4916/3376)","0","10114","- (1/0)",,,,"cdd3f0e9bddbd403486a380ace846092"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_v4.2_SmallVariantDraftBenchmark_07092020/supplementaryFiles/inputvcfsandbeds","ba81520b8d268754342030c2c6a2cd5e/HG004_GRCh38_CHROM1-22_10xGenomics.vcf.gz","1.3","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","1460076","4578195","3773345","0","389562","404728","10560",,"1.61 (2821591/1756604)","1.61 (2327684/1445661)","- (0/0)",,,"0",,,,,,"ba81520b8d268754342030c2c6a2cd5e"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG004_pass","ae3d3f2b839ce078a9b98ed6f589e1de/HG004_NIST_150bp_50x_fermikit.raw_min20bp_refalt_head.vcf.gz","0.0","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","0","29857","46","0","15395","14105","311",,"- (46/0)","- (0/0)","3.49 (11968/3427)",,,"0",,,,,,"ae3d3f2b839ce078a9b98ed6f589e1de"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG004_pass","2b9a0c5e2ef4ced6290080f3e2113d68/HG004.pindel_pass_decomposed_norm.vcf.gz","0.0","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","0","0",,,,,,,,,,,,,,,,,,"2b9a0c5e2ef4ced6290080f3e2113d68"
"/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_12062017","8853b1535d84fa4e4f0dc1d9f2b9363d/HG4_megahit.l100c500.no_ns.vcf.gz","0.0","/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_12062017/README","Not Available","Not Available","Not Available","Not Available","0","3789","0","0","1355","1955","479","0","0","1355","1953","- (0/0)","0.69 (1355/1955)","0","3787","- (2/0)",,,,"8853b1535d84fa4e4f0dc1d9f2b9363d"
"/giab/ftp/data/AshkenazimTrio/analysis/Spiral_AJTrio_v1.1_01312017","a2e71bfea0acafb87048c303c3f062d9/HG002_SpiralVariants_refine_v1.1_norm.vcf.gz","0.0","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","0","19399","0","0","5617","10046","3289",,"- (0/0)","- (0/0)","0.00 (0/5617)",,,"447",,,,,,"a2e71bfea0acafb87048c303c3f062d9"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/inputvcfs_preformatted/HG003_pass","8e177513a8fe15aa8fc2810de004fa82/HG003.commonlaw.deletions.bilkentuniv.082815.vcf.gz","0.0","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","0","853","853",,,,,,,,,,,,,,,,,"8e177513a8fe15aa8fc2810de004fa82"
"/giab/ftp/data/AshkenazimTrio/analysis/10XGenomics_ChromiumGenome_LongRanger2.2_Supernova2.0.1_04122018/GRCh37/NA24385_300G","d9ceb6cf4da8345f02a63e8d7cdd4be1/NA24385.GRCh37.dels.reformatted.vcf.gz","0.0","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","54","3830","0","0","0","3830","0",,"1.59 (2350/1480)","- (0/0)","- (0/0)",,,"0",,,,,,"d9ceb6cf4da8345f02a63e8d7cdd4be1"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG002_pass","cb71df41bfa6c745665aea6dc1d5d6d6/vcfBeta-GS000037263-ASM_filtered_pass_refalt_head.vcf.gz","0.0","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","0","11865","0","2","5376","1715","748","3621","21.1% (2419/11462)","149","0","- (2/0)","1.79 (3395/1901)","0","403","- (0/0)",,,,"cb71df41bfa6c745665aea6dc1d5d6d6"
"/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_04122018/hs37d5","7fea96c3a1ba833134080cfefa957ad9/HG2_ORod_chr20_0318.l100c500.no_ns.vcf.gz","0.0","/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_04122018/README","Not Available","Not Available","Not Available","Not Available","0","570","0","0","323","159","88","0","0","165","68","- (46/0)","2.03 (323/159)","0","275","- (91/0)",,,,"7fea96c3a1ba833134080cfefa957ad9"
"/giab/ftp/data/AshkenazimTrio/analysis/DNAnexus_AndrewC_Illumina_Callers_Sep2016/HG004","167833773768b1a6d444540c8a3ff66e/HG004.140818_D00360_0046_AHA5R5ADXX.realigned.recalibrated.manta.candidateSV.vcf","0.02","/giab/ftp/data/AshkenazimTrio/analysis/DNAnexus_AndrewC_Illumina_Callers_Sep2016/README.docx","Not Available","Not Available","Not Available","Not Available","0","117293","117293",,,,,,,,,,,,,,,,,"167833773768b1a6d444540c8a3ff66e"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_UnionSVs_05092017/supplementaryFiles/intermediate_170509/HG003_pass","0de26760e7ba70ce59966aafb4fcee47/HG003.140701_D00360_0032_AHA0KGADXX.realigned.recalibrated.breakseq_pass_withID_gt19bp.sort.vcf.gz","0.0","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","0","2113","0","0","0","0","0",,"5.79 (1802/311)","- (0/0)","- (0/0)",,,"2113","0",,,,,"0de26760e7ba70ce59966aafb4fcee47"
"/giab/ftp/data/AshkenazimTrio/HG003_NA24149_father/NIST_Illumina_2x250bps/HG003_250bp_All_good-29988042","607f7d830322037cfe2c589c27cc1354/HG003-250bp-All-good_S1.genome.vcf.gz","3.11","/giab/ftp/data/AshkenazimTrio/HG003_NA24149_father/NIST_Illumina_2x250bps/README_NIST_Illumina_pairedend_2x250_HG003.txt","HG003","SAMN03283345","ASHKENAZI_JEWISH","NA24149","13509618","352742460","3640742","549","301424","298471","23584","2874","2874","0","0","1.90 (195664/102807)","5.94 (20188/3396)","348477039","651","1.66 (188193/113231)",,,,"607f7d830322037cfe2c589c27cc1354"
"/giab/ftp/data/AshkenazimTrio/analysis/NIST_v4.2_SmallVariantDraftBenchmark_07092020/supplementaryFiles/inputvcfsandbeds","523d006349db7b8a3652df05140eb7eb/HG004_GRCh38_CHROM1-22_PacBio_HiFi_DeepVariant.vcf.gz","0.16","Not available in parent or current directory","Not Available","Not Available","Not Available","Not Available","5151964","5042136","4090711","0","460132","466601","22032",,"1.56 (2493628/1597083)","- (0/0)","1.93 (303011/157121)",,,"2660",,,,,,"523d006349db7b8a3652df05140eb7eb"
"/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_12062017","b102c142d7d1089a610074f0c22f4c7b/HG2_p_and_a_ctg_Sep2016.l100c500.vcf.gz","0.01","/giab/ftp/data/AshkenazimTrio/analysis/NHGRI_SVrefine_12062017/README","Not Available","Not Available","Not Available","Not Available","0","12955","0","0","6463","4128","2364","0","0","4917","3158","- (544/0)","1.57 (6463/4128)","0","9895","- (970/0)",,,,"b102c142d7d1089a610074f0c22f4c7b"
"/giab/ftp/data/NA12878/analysis/CLCBIO_Illumina300X_callsets_10012015","55ccb9ce015d6bb547b4b104ab1f360b/U5c_CCGTCC_L001_R1_001_paired_Reads_locally_realigned_Variants.vcf","0.0","/giab/ftp/data/NA12878/analysis/CLCBIO_Illumina300X_callsets_10012015/README.txt","Not Available","Not Available","Not Available","Not Available","0","52","47","2","1","1","0","3","0","1","1","- (0/0)","- (0/0)","0","1","- (0/0)",,,,"55ccb9ce015d6bb547b4b104ab1f360b"
